id,name_en,name_ko,name_ko_alt,type,lat,lng,verses,status
a71f834,Valley of Beracah,Valley of Beracah,,골짜기,31.60894,35.17164,역대하 20:26,확인 필요
a49037e,Valley of Decision,Valley of Decision,,골짜기,31.780278,35.24,요엘 3:14,확인 필요
ab183f8,Valley of Elah,Valley of Elah,,골짜기,31.67542,34.99802,사무엘상 17:2; 사무엘상 17:19; 사무엘상 21:9,확인 필요
a38ecff,Valley of Eshcol,Valley of Eshcol,,골짜기,31.525087,35.10222,민수기 13:23; 민수기 13:24; 민수기 32:9; 신명기 1:24,확인 필요
a816ed9,Valley of Gerar,Valley of Gerar,,골짜기,31.3821,34.6065,창세기 26:17; 창세기 26:19,확인 필요
a8c579d,Valley of Gibeon,Valley of Gibeon,,골짜기,31.847451,35.183351,이사야 28:21,확인 필요
a2109c3,Valley of Hamon-gog,Valley of Hamon-gog,,special,31.7539,35.7152,에스겔 39:11; 에스겔 39:15,확인 필요
a375f5a,Valley of Hebron,Valley of Hebron,,골짜기,31.525087,35.10222,창세기 37:14,확인 필요
a37c8e6,Valley of Hinnom,Valley of Hinnom,,골짜기,31.769167,35.228056,여호수아 15:8; 여호수아 18:16; 열왕기하 23:10; 역대하 28:3; 역대하 33:6,확인 필요
a3e0180,Valley of Iphtahel,Valley of Iphtahel,,골짜기,32.771216,35.143017,여호수아 19:14; 여호수아 19:27,확인 필요
a324282,Valley of Jehoshaphat,Valley of Jehoshaphat,,골짜기,31.780278,35.24,요엘 3:2; 요엘 3:12,확인 필요
ac9a77c,Valley of Jericho,Valley of Jericho,,골짜기,31.871719,35.444564,신명기 34:3,확인 필요
aa516c2,Valley of Jezreel,Valley of Jezreel,,골짜기,32.596389,35.241944,여호수아 17:16; 사사기 6:33; 사무엘상 31:7; 역대상 10:7; 호세아 1:5,확인 필요
ac2192b,Valley of Lebanon,Valley of Lebanon,,골짜기,34.008889,36.145278,여호수아 11:17; 여호수아 12:7,확인 필요
ae32196,Valley of Mizpeh,Valley of Mizpeh,,골짜기,33.4,35.85,여호수아 11:8,확인 필요
a7559e6,Valley of Rephaim,Valley of Rephaim,,골짜기,31.763203,35.219122,여호수아 15:8; 여호수아 18:16; 사무엘하 5:18; 사무엘하 5:22; 사무엘하 23:13,확인 필요
